component,title,layer,purpose,source_file,source_sha256,runtime_owner,integration_mechanism,binding_notes,implementation_status,vec1_terminal_state,closure_reason
066,Large LCTLC Backend,Four VM Manifestations,Generates DF_Large-specific LCTLC executable form.,066_Large_LCTLC_Backend.md,0435b3a48b77cda47fd4e6cf94324291df67d82d5afcc3f2bef4c374b8dd4018,N_LARGE,LCTLC/1.2 lowering,PA-LCTL rows -> LCTLC/1.2 -> BRIM/1,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
067,DF_Xtra_Large Adapter,Four VM Manifestations,Provides large-state and long-running electron execution.,067_DF_Xtra_Large_Adapter.md,e8f9ed83a983102453e8d039f3fca121b367fd22cd3bdf75d5a87eb6cf66f9eb,N_XLARGE,DF_Xtra_Large adapter,large-state/long-running hosted manifestation,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
068,XL/QVM Lowering Backend,Four VM Manifestations,Generates DF_Xtra_Large/QVM-compatible execution form.,068_XL_QVM_Lowering_Backend.md,1cc27c37243abff54eb7f4692a91cf7b3cfaa1cb977ca2e18844126331d0bd9b,N_XLARGE,QVM lowering,PA-LCTL rows -> LCTLC/1.0 -> QVM-BRIR/1 -> QBRIM 2,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
069,Result Normalizer,Four VM Manifestations,Maps target-specific result conventions into the common VEC result model.,069_Result_Normalizer.md,bca99762d1e323d2586eb5dc42f5fdadc612b5c9d549162c7f437eb1a1f39170,DF0,DF_Fabric,"cross-target normalization, scheduling, quorum, transport, recovery",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
070,Cross-Target Comparator,Four VM Manifestations,Verifies that all target manifestations produce equivalent logical results.,070_Cross_Target_Comparator.md,61840cbe461efb6ea4071f1cc745cc2d4720a9480b2d568817fa66323858f87b,DF0,DF_Fabric,"cross-target normalization, scheduling, quorum, transport, recovery",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
071,Electron Registry,DF_Fabric Environment,"Catalogs active, dormant, suspended, and retired VEC instances.",071_Electron_Registry.md,d510dc21db61f174912eb5e0e17046a38d6fe6911eb150072dea5dc53b172ebb,DF0,DF_Fabric,"cross-target normalization, scheduling, quorum, transport, recovery",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
072,Fabric Scheduler,DF_Fabric Environment,Determines when and where electrons execute.,072_Fabric_Scheduler.md,e4ccad8d853e8c1be0c592d85aeeefef6cb0aeefdbd2711b97e4d723e0850506,DF0,DF_Fabric,"cross-target normalization, scheduling, quorum, transport, recovery",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
073,Placement Engine,DF_Fabric Environment,"Assigns electrons to Small, Medium, Large, and Xtra-Large nodes.",073_Placement_Engine.md,45822447db32fce68f0d5b8d4bfda193eede2497c193bb15de7b8b7c0fa8cafa,DF0,DF_Fabric,"cross-target normalization, scheduling, quorum, transport, recovery",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
074,Replica Manager,DF_Fabric Environment,Creates and supervises parallel execution replicas.,074_Replica_Manager.md,e3bc05904f04348819d9211fc8d373800560e70b6d83cf9d357d22e7ecd0b991,DF0,DF_Fabric,"cross-target normalization, scheduling, quorum, transport, recovery",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
075,Quorum Manager,DF_Fabric Environment,Determines whether independent results reach the configured agreement threshold.,075_Quorum_Manager.md,121e4296ac0bc9129c1938f15230c0e4ee9f17ebac79c83c0f520b1386284b47,DF0,DF_Fabric,"cross-target normalization, scheduling, quorum, transport, recovery",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
076,Differential Verification Engine,DF_Fabric Environment,Compares heterogeneous-node results and identifies divergences.,076_Differential_Verification_Engine.md,c0dacf37da0661c3a6edf87d42ea291bc6410d91e46f0871d28f37b5a1661395,DF0,DF_Fabric,"cross-target normalization, scheduling, quorum, transport, recovery",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
077,Fabric Event Log,DF_Fabric Environment,Maintains the distributed execution and coordination history.,077_Fabric_Event_Log.md,82616f808ebb7a78fa100ad3d262df23a56b518184c1276f5fb8baf5b5167626,DF0,DF_Fabric,"cross-target normalization, scheduling, quorum, transport, recovery",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
078,Transport Layer,DF_Fabric Environment,"Moves messages, state, receipts, and control records between VM nodes.",078_Transport_Layer.md,557e02773ddc84b511c3e640e4c97f5cbed2d05d89952c435d2af2b73d5021b3,DF0,DF_Fabric,"cross-target normalization, scheduling, quorum, transport, recovery",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
079,Node Discovery System,DF_Fabric Environment,Locates compatible VM instances and their capability profiles.,079_Node_Discovery_System.md,7d2053b4cbef87f76e77c9bfc5b4d875043ac442e3d24fe235254b9023718dd2,DF0,DF_Fabric,"cross-target normalization, scheduling, quorum, transport, recovery",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
080,Health Monitor,DF_Fabric Environment,Determines whether VM hosts and VEC services are usable.,080_Health_Monitor.md,d1029b8f6b9a1dbf838b6916e2dcda0fc235f388632a5930827d2a48a805f025,DF0,DF_Fabric,"cross-target normalization, scheduling, quorum, transport, recovery",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
081,Recovery Coordinator,DF_Fabric Environment,Restarts or reconstructs failed electron instances.,081_Recovery_Coordinator.md,37eed710d329e2a39188e8c3b5bd6f95f981a0f73d82f344985144d67df03dad,DF0,DF_Fabric,"cross-target normalization, scheduling, quorum, transport, recovery",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
082,Checkpoint Coordinator,DF_Fabric Environment,Coordinates consistent distributed snapshots.,082_Checkpoint_Coordinator.md,e39f434afc2a50d104ccde0aeaa2dcc0980428660fd4e28521e683c631c0b2af,DF0,DF_Fabric,"cross-target normalization, scheduling, quorum, transport, recovery",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
083,Capability Manifest,Capability & Security Envelope,Explicitly states what the electron may do.,083_Capability_Manifest.md,d286a07e261bb1ee985fae9127a07805d4051e93d7b42bf35948eef25516e855,VEC_CONTROL+DF0,Security envelope,"deny-by-default capabilities, quotas, filesystem/network/host/plugin gates",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
084,Capability Tokens,Capability & Security Envelope,"Grants narrowly scoped, time- or context-bound permissions.",084_Capability_Tokens.md,119c393b6a227184edacf95cb09630717e5d5f2d6f5aeb80d8c0578bf9e389a7,VEC_CONTROL+DF0,Security envelope,"deny-by-default capabilities, quotas, filesystem/network/host/plugin gates",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
085,Resource Quotas,Capability & Security Envelope,"Constrains CPU, RAM, steps, storage, network, and concurrency.",085_Resource_Quotas.md,ff8b7272244f5913a732e8eb6bde12ad6377d813733dce31fb651830b942c154,VEC_CONTROL+DF0,Security envelope,"deny-by-default capabilities, quotas, filesystem/network/host/plugin gates",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
086,Filesystem Sandbox,Capability & Security Envelope,Restricts local filesystem access.,086_Filesystem_Sandbox.md,321209b615f729c564b9937e3214800168ca54cee59f7d07aaae68f92118c24c,VEC_CONTROL+DF0,Security envelope,"deny-by-default capabilities, quotas, filesystem/network/host/plugin gates",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
087,Network Sandbox,Capability & Security Envelope,Restricts outbound and inbound network connectivity.,087_Network_Sandbox.md,e48ba6299f192a2992dbdf30aa7a9406ad1b290e6aede6064ab65599f3a4c271,VEC_CONTROL+DF0,Security envelope,"deny-by-default capabilities, quotas, filesystem/network/host/plugin gates",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
088,Host-Call Gate,Capability & Security Envelope,Controls calls into Windows or other host services.,088_Host_Call_Gate.md,be3f94d4217ca939ba95292373d9ea824d051173bd0e75fed9c1ecaae58e52d3,VEC_CONTROL+DF0,Security envelope,"deny-by-default capabilities, quotas, filesystem/network/host/plugin gates",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
089,Plugin Gate,Capability & Security Envelope,Controls which plugins may be bound to a VEC orbital.,089_Plugin_Gate.md,8612fcbe98c606fac3a37ce8e31df4c9831828a8e7afd3b87b738bd804745ff2,VEC_CONTROL+DF0,Security envelope,"deny-by-default capabilities, quotas, filesystem/network/host/plugin gates",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
090,Privilege Boundary,Capability & Security Envelope,Separates electron execution authority from Fabric administration.,090_Privilege_Boundary.md,b1a2d634226b5e03fc5f82fe4cdf8cf0fa085f30d5a5441429299de4258f0402,VEC_CONTROL+DF0,Security envelope,"deny-by-default capabilities, quotas, filesystem/network/host/plugin gates",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
091,Kill/Suspend Switch,Capability & Security Envelope,Provides deterministic suspension and termination control.,091_Kill_Suspend_Switch.md,231022e2d007caba5e69ef3a7ae28eab9e83f08876892f3c14ba3b1a4ddbb1ee,VEC_CONTROL+DF0,Security envelope,"deny-by-default capabilities, quotas, filesystem/network/host/plugin gates",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
092,Recovery Policy,Capability & Security Envelope,"Defines permitted restart, replay, rollback, and reconstruction behavior.",092_Recovery_Policy.md,9201104bda619848a8e2677dffef9778caebf4f6b7815401943aad5f9c5c43ca,VEC_CONTROL+DF0,Security envelope,"deny-by-default capabilities, quotas, filesystem/network/host/plugin gates",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
093,Orbital Manager,QAM Integration,Assigns VECs to computational orbitals.,093_Orbital_Manager.md,c18018d52151ecb2696152ad2bbd1627b4f6e7646977456c018c8ed1aef4546f,N_XLARGE+DF0,QAM integration plane,orbital/pool/affinity state with fabric placement,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
094,Electron Pool,QAM Integration,Maintains available VEC workers and lifecycle state.,094_Electron_Pool.md,4e8d76a86dc30b21f9586054a00b23db234ca92125e50946abe0bf0f4b7fb615,N_XLARGE+DF0,QAM integration plane,orbital/pool/affinity state with fabric placement,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
095,Electron Affinity Map,QAM Integration,"Determines preferred proton, neutron, workload, and node associations.",095_Electron_Affinity_Map.md,4ddb85cd7ca885c70834d4d92607a75b8e5dc6d82f0d9324a9b2e7a9ee7846d2,N_XLARGE+DF0,QAM integration plane,orbital/pool/affinity state with fabric placement,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
096,Proton Interface,QAM Integration,Connects electrons to function or type components.,096_Proton_Interface.md,cd787d36cddbc266595144cd6960e502d13bb92e65da5afa517aed44ec9efd5a,N_XLARGE+DF0,QAM integration plane,orbital/pool/affinity state with fabric placement,REFERENCE_INTERFACE_ONLY,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
097,Neutron Interface,QAM Integration,Connects electrons to persistence and management components.,097_Neutron_Interface.md,d1e273b25028a9298c5733365e7a24321c65248f5462bc8811c35089f5bdc350,N_XLARGE+DF0,QAM integration plane,orbital/pool/affinity state with fabric placement,REFERENCE_INTERFACE_ONLY,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
098,Atomic Membership Record,QAM Integration,States which QAM atom owns or contains the electron.,098_Atomic_Membership_Record.md,9803202efad33ad2853ab2ec2c6869c4bc02b89d268c388e2e6b9410dc0dbd0c,N_XLARGE+DF0,QAM integration plane,orbital/pool/affinity state with fabric placement,REFERENCE_INTERFACE_ONLY,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
099,Bond Interface,QAM Integration,Allows atoms and electrons to form higher-order computational structures.,099_Bond_Interface.md,e149997e3dee6c6563f05c83bb901d89174845c29b5a9b5fb9f77047f5331aed,N_XLARGE+DF0,QAM integration plane,orbital/pool/affinity state with fabric placement,REFERENCE_INTERFACE_ONLY,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
100,Orbital Transition Controller,QAM Integration,Moves electrons between plugin or function roles under controlled policy.,100_Orbital_Transition_Controller.md,6cdde49b62e0e00470771e942edaafb4252962dc636b568a16a98404e849442f,N_XLARGE+DF0,QAM integration plane,orbital/pool/affinity state with fabric placement,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
101,Electron Inspector,Observability & Technical Institute,Displays live and historical VEC internal state.,101_Electron_Inspector.md,3d9cdcdd403f16bc663ea113073b07d93c58c7f061560b032cf8b8032d0313f4,VEC_CONTROL+UI,Observability plane,offline laboratory dashboard + evidence views,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
102,Lineage Viewer,Observability & Technical Institute,Visualizes clone ancestry and fork relationships.,102_Lineage_Viewer.md,c2d1b7f5fd78f872f35b38ee069a369cad22ebb49b1e12245a822fce6c05d3e5,VEC_CONTROL+UI,Observability plane,offline laboratory dashboard + evidence views,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
103,Orbital Viewer,Observability & Technical Institute,Visualizes current and historical orbital role and binding.,103_Orbital_Viewer.md,27fe7c3a07ae67d058bef54040610deeef1433f9e401d3917532df11113b0d2d,VEC_CONTROL+UI,Observability plane,offline laboratory dashboard + evidence views,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
104,State-Diff Viewer,Observability & Technical Institute,"Compares parent, clone, checkpoint, and target-normalized states.",104_State_Diff_Viewer.md,aa92b535fa877ce2dd61caacf683a5abf3701c988c14a599bccc60609aebd8cc,VEC_CONTROL+UI,Observability plane,offline laboratory dashboard + evidence views,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
105,Execution Trace Viewer,Observability & Technical Institute,"Displays instruction, event, and transition history.",105_Execution_Trace_Viewer.md,c44578e100bd9c904fe2b0a7228bda1f0fd554fc9d69335a3118ce51b93acceb,VEC_CONTROL+UI,Observability plane,offline laboratory dashboard + evidence views,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
106,Fabric Topology View,Observability & Technical Institute,"Displays which VM hosts each manifestation, replica, and service.",106_Fabric_Topology_View.md,fde9093838b2e8612a10f814080e227f82b4efb4d3b80243689c0da5f13405ac,VEC_CONTROL+UI,Observability plane,offline laboratory dashboard + evidence views,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
107,Quorum Dashboard,Observability & Technical Institute,"Displays replica agreement, disagreement, and quorum evidence.",107_Quorum_Dashboard.md,69f327a69222036040d01d5b6eebb5c6768d6f7b53612edfeda1d12f4880db5a,VEC_CONTROL+UI,Observability plane,offline laboratory dashboard + evidence views,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
108,Resource Dashboard,Observability & Technical Institute,"Displays CPU, memory, step, storage, and transport consumption.",108_Resource_Dashboard.md,468e49ed1a0f1ea19d92d2c12890b08047cb4795ae598962188d1aa3785e0c2f,VEC_CONTROL+UI,Observability plane,offline laboratory dashboard + evidence views,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
109,Attestation Viewer,Observability & Technical Institute,Displays validation and verification evidence.,109_Attestation_Viewer.md,15dcb9192ab1631be6c59c63520aacae1dadf7ad28f722ce6085440c4f11577a,VEC_CONTROL+UI,Observability plane,offline laboratory dashboard + evidence views,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
110,Clone Laboratory UI,Observability & Technical Institute,"Provides operator workflows to create, freeze, fork, compare, restore, and retire VECs.",110_Clone_Laboratory_UI.md,6b4ff11e748b48e13495086c60c33201be7406843a93346760a9f4afd84b8614,VEC_CONTROL+UI,Observability plane,offline laboratory dashboard + evidence views,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
