schema_version,package_version,hardening_profile,evidence_schema,number,title,layer,purpose,file,checklist_items,acceptance_parent_items,parent_checkboxes,nested_todos_per_parent,nested_todos,actionable_checkboxes,prompt_workflow_pairs,prompts,workflows,validation_status,sha256
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,84,Capability Tokens,Capability & Security Envelope,"Grants narrowly scoped, time- or context-bound permissions.",084_Capability_Tokens.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,119c393b6a227184edacf95cb09630717e5d5f2d6f5aeb80d8c0578bf9e389a7
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,85,Resource Quotas,Capability & Security Envelope,"Constrains CPU, RAM, steps, storage, network, and concurrency.",085_Resource_Quotas.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,ff8b7272244f5913a732e8eb6bde12ad6377d813733dce31fb651830b942c154
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,86,Filesystem Sandbox,Capability & Security Envelope,Restricts local filesystem access.,086_Filesystem_Sandbox.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,321209b615f729c564b9937e3214800168ca54cee59f7d07aaae68f92118c24c
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,87,Network Sandbox,Capability & Security Envelope,Restricts outbound and inbound network connectivity.,087_Network_Sandbox.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,e48ba6299f192a2992dbdf30aa7a9406ad1b290e6aede6064ab65599f3a4c271
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,88,Host-Call Gate,Capability & Security Envelope,Controls calls into Windows or other host services.,088_Host_Call_Gate.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,be3f94d4217ca939ba95292373d9ea824d051173bd0e75fed9c1ecaae58e52d3
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,89,Plugin Gate,Capability & Security Envelope,Controls which plugins may be bound to a VEC orbital.,089_Plugin_Gate.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,8612fcbe98c606fac3a37ce8e31df4c9831828a8e7afd3b87b738bd804745ff2
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,90,Privilege Boundary,Capability & Security Envelope,Separates electron execution authority from Fabric administration.,090_Privilege_Boundary.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,b1a2d634226b5e03fc5f82fe4cdf8cf0fa085f30d5a5441429299de4258f0402
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,91,Kill/Suspend Switch,Capability & Security Envelope,Provides deterministic suspension and termination control.,091_Kill_Suspend_Switch.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,231022e2d007caba5e69ef3a7ae28eab9e83f08876892f3c14ba3b1a4ddbb1ee
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,92,Recovery Policy,Capability & Security Envelope,"Defines permitted restart, replay, rollback, and reconstruction behavior.",092_Recovery_Policy.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,9201104bda619848a8e2677dffef9778caebf4f6b7815401943aad5f9c5c43ca
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,93,Orbital Manager,QAM Integration,Assigns VECs to computational orbitals.,093_Orbital_Manager.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,c18018d52151ecb2696152ad2bbd1627b4f6e7646977456c018c8ed1aef4546f
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,94,Electron Pool,QAM Integration,Maintains available VEC workers and lifecycle state.,094_Electron_Pool.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,4e8d76a86dc30b21f9586054a00b23db234ca92125e50946abe0bf0f4b7fb615
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,95,Electron Affinity Map,QAM Integration,"Determines preferred proton, neutron, workload, and node associations.",095_Electron_Affinity_Map.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,4ddb85cd7ca885c70834d4d92607a75b8e5dc6d82f0d9324a9b2e7a9ee7846d2
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,96,Proton Interface,QAM Integration,Connects electrons to function or type components.,096_Proton_Interface.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,cd787d36cddbc266595144cd6960e502d13bb92e65da5afa517aed44ec9efd5a
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,97,Neutron Interface,QAM Integration,Connects electrons to persistence and management components.,097_Neutron_Interface.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,d1e273b25028a9298c5733365e7a24321c65248f5462bc8811c35089f5bdc350
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,98,Atomic Membership Record,QAM Integration,States which QAM atom owns or contains the electron.,098_Atomic_Membership_Record.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,9803202efad33ad2853ab2ec2c6869c4bc02b89d268c388e2e6b9410dc0dbd0c
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,99,Bond Interface,QAM Integration,Allows atoms and electrons to form higher-order computational structures.,099_Bond_Interface.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,e149997e3dee6c6563f05c83bb901d89174845c29b5a9b5fb9f77047f5331aed
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,100,Orbital Transition Controller,QAM Integration,Moves electrons between plugin or function roles under controlled policy.,100_Orbital_Transition_Controller.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,6cdde49b62e0e00470771e942edaafb4252962dc636b568a16a98404e849442f
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,101,Electron Inspector,Observability & Technical Institute,Displays live and historical VEC internal state.,101_Electron_Inspector.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,3d9cdcdd403f16bc663ea113073b07d93c58c7f061560b032cf8b8032d0313f4
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,102,Lineage Viewer,Observability & Technical Institute,Visualizes clone ancestry and fork relationships.,102_Lineage_Viewer.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,c2d1b7f5fd78f872f35b38ee069a369cad22ebb49b1e12245a822fce6c05d3e5
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,103,Orbital Viewer,Observability & Technical Institute,Visualizes current and historical orbital role and binding.,103_Orbital_Viewer.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,27fe7c3a07ae67d058bef54040610deeef1433f9e401d3917532df11113b0d2d
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,104,State-Diff Viewer,Observability & Technical Institute,"Compares parent, clone, checkpoint, and target-normalized states.",104_State_Diff_Viewer.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,aa92b535fa877ce2dd61caacf683a5abf3701c988c14a599bccc60609aebd8cc
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,105,Execution Trace Viewer,Observability & Technical Institute,"Displays instruction, event, and transition history.",105_Execution_Trace_Viewer.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,c44578e100bd9c904fe2b0a7228bda1f0fd554fc9d69335a3118ce51b93acceb
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,106,Fabric Topology View,Observability & Technical Institute,"Displays which VM hosts each manifestation, replica, and service.",106_Fabric_Topology_View.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,fde9093838b2e8612a10f814080e227f82b4efb4d3b80243689c0da5f13405ac
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,107,Quorum Dashboard,Observability & Technical Institute,"Displays replica agreement, disagreement, and quorum evidence.",107_Quorum_Dashboard.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,69f327a69222036040d01d5b6eebb5c6768d6f7b53612edfeda1d12f4880db5a
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,108,Resource Dashboard,Observability & Technical Institute,"Displays CPU, memory, step, storage, and transport consumption.",108_Resource_Dashboard.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,468e49ed1a0f1ea19d92d2c12890b08047cb4795ae598962188d1aa3785e0c2f
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,109,Attestation Viewer,Observability & Technical Institute,Displays validation and verification evidence.,109_Attestation_Viewer.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,15dcb9192ab1631be6c59c63520aacae1dadf7ad28f722ce6085440c4f11577a
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,110,Clone Laboratory UI,Observability & Technical Institute,"Provides operator workflows to create, freeze, fork, compare, restore, and retire VECs.",110_Clone_Laboratory_UI.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,6b4ff11e748b48e13495086c60c33201be7406843a93346760a9f4afd84b8614
